Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Tortilla, wheat (20cm diam)",1,49,159,666,4,27,,1.6,3,0.9,0,19,1.6,234,64,13,61,,,,
"PANCAKES, WAFFLES AND FRENCH TOAST",,,,,,,,,,,,,,,,,,,,,
"French toast, frozen, ready to heat, heated",1 slice,59,126,526,4,19,,0.6,4,0.9,48,63,1.3,292,79,10,82,,,,
"French toast, homemade",1 slice,65,149,623,5,16,,0.7,7,1.8,75,65,1.1,311,87,11,76,,,,
"Pancake, buckwheat, prepared from mix (13cm diam)",1,40,73,305,3,10,2,1.1,3,0.6,20,89,0.7,191,80,27,143,,,,
"Pancake, homemade with butter and syrup (13cm diam)",1,50,112,468,3,20,2,0.8,3,1,11,85,0.5,211,78,9,118,,,,
"Pancake, plain, from complete mix (13cm diam)",1,40,64,266,1,11,0,0.4,2,0.2,3,36,0.4,180,50,6,96,,,,
"Pancake, plain, frozen, ready-to-heat (13cm diam), heated",1,41,94,393,2,18,4,0.7,1,0.3,4,25,1.4,209,30,6,153,,,,
"Pancake, plain, homemade (13cm diam)",1,38,86,361,2,11,,0.5,4,0.8,22,83,0.7,167,50,6,60,,,,
"Potato pancake, homemade (8cm diam)",1,37,112,467,2,13,1,1,6,0.6,23,12,0.7,191,277,16,46,,,,
"Waffle, homemade",1,37,103,432,3,14,2,0.5,4,0.7,33,44,0.9,146,58,7,53,,,,
"Waffle, plain, frozen, ready to heat, heated",1,33,87,364,2,13,2,0.8,3,0.5,8,77,1.5,260,42,7,139,,,,
"RICE, PASTA AND OTHER GRAINS",,,,,,,,,,,,,,,,,,,,,
"Barley, pearled, cooked",125mL,83,102,426,2,23,tr,2,tr,0.1,0,9,1.1,2,77,18,45,,,,
"Bulgur, cooked",125mL,96,80,334,3,18,tr,2.7,tr,tr,0,10,0.9,5,65,31,38,,,,
"Couscous,cooked",125mL,83,93,388,3,19,tr,0.7,tr,tr,0,7,0.3,4,48,7,18,,,,
"Macaroni, cooked",250mL,148,209,873,7,42,1,1.8,1,0.1,0,10,2.1,1,46,27,80,,,,
"Noodles, Chinese, chow mein",250mL,48,251,1048,4,27,tr,1.9,15,2.1,0,10,2.2,209,57,25,77,,,,
"Noodles, egg, cooked",250mL,169,225,940,8,42,1,1.9,2,0.5,56,20,2.7,12,47,32,117,,,,
"Pasta, fresh-refrigerated, cooked",250mL,169,220,920,9,40,,3.7,3,0.7,69,17,2,140,36,24,88,,,,
"Pasta, fresh-refrigerated, spinach, cooked",250mL,169,223,933,9,41,1,2.2,3,0.6,56,32,1.8,20,63,41,96,,,,
"Quinoa, cooked",125mL,73,70,293,2,13,,1.3,1,0.1,0,11,1.7,4,138,39,77,,,,
"Ramen noodles, chicken flavour, dry",1 package,85,371,1554,9,54,1,2,13,6,,23,3.3,1760,147,19,100,,,,
"Rice noodles, cooked",250mL,186,203,848,2,46,,1.9,tr,tr,0,7,0.3,35,7,6,37,,,,
"Rice, brown, long-grain, cooked",125mL,103,115,479,3,24,tr,1.5,1,0.2,0,10,0.4,5,44,44,86,,,,
"Rice, white, long-grain, cooked",125mL,83,109,454,2,24,tr,0.4,tr,0.1,0,8,0.2,1,29,10,36,,,,
"Rice, white, long-grain, instant, prepared",125mL,87,85,357,2,19,0,0.5,tr,tr,0,7,0.2,3,3,4,12,,,,
"Rice, white, long-grain, parboiled,cooked",125mL,92,105,441,2,23,tr,0.4,tr,0.1,0,18,0.2,3,34,11,39,,,,
"Rice, wild, cooked",125mL,87,88,366,3,18,1,1.6,tr,tr,0,3,0.5,3,88,28,71,,,,
"Soba noodles, cooked",250mL,120,119,499,6,26,,,tr,tr,0,5,0.6,72,42,11,30,,,,
"Spaghetti, cooked",250mL,148,209,873,7,42,1,2.5,1,0.1,0,10,2.1,1,46,27,80,,,,
"Spaghetti, whole-wheat, cooked",250mL,148,183,768,8,39,1,4.8,1,0.1,0,22,1.6,4,65,44,132,,,,
BREAKFAST CEREALS,,,,,,,,,,,,,,,,,,,,,
"All Bran Buds with psyllium, Kellogg'sTM",75mL,27,70,292,2,22,7,11.3,1,,0,17,3.5,181,242,74,242,,,,
"All Bran, Kellogg'sTM",125mL,35,92,384,4,27,6,11.8,1,,0,30,4.7,305,408,130,350,,,,
"Almond Raisin Muslix, Kellogg'sTM",175mL,44,173,722,4,34,13,3,3,,0,24,5.9,140,191,30,86,,,,
"Alpha-Bits, PostTM",250mL,34,139,580,2,30,14,1.1,1,0.2,0,3,4.5,126,21,24,74,,,,
"Bran Flakes, PostTM",250mL,53,185,776,5,41,9,7.4,1,0.2,0,24,7,302,253,121,276,,,,
"Cap'n Crunch, QuakerTM",175mL,27,108,452,1,23,10,0.7,1,1.1,0,0,3.6,213,30,11,22,,,,
"Cheerios: Honey Nut, General MillsTM",250mL,35,134,561,3,28,12,2.1,1,,0,128,4.7,252,99,38,115,,,,
Cheerios: regular General MillsTM,250mL,24,95,396,3,18,1,2.2,2,,0,44,3.2,219,78,32,105,,,,
"Cinnamon Toast Crunch, General MillsTM",175mL,28,123,514,1,22,9,1,3,,0,103,3.8,193,41,12,93,,,,
"Corn Bran, QuakerTM",250mL,38,124,520,3,30,8,6.1,2,0.8,0,0,5,349,91,,42,,,,
"Corn Flakes, Kellogg'sTM",250mL,26,103,430,2,23,2,0.7,tr,0,0,1,3.5,190,28,2,12,,,,
"Corn Pops, Kellogg'sTM",250mL,33,130,544,1,30,12,0.4,tr,0,0,2,4.4,192,26,3,13,,,,
"Cream of wheat, regular",175mL,186,46,195,2,9,tr,0.7,tr,0,0,2,1.6,tr,15,2,17,,,,
"Fibre 1, General MillsTM",125mL,30,79,329,3,24,0,14.1,1,0.1,0,110,4.1,130,239,68,188,,,,
"Froot Loops, Kellogg'sTM",250mL,30,116,485,1,26,14,0.6,1,,0,3,3.9,121,30,7,31,,,,
"Frosted Flakes, Kellogg'sTM",250mL,37,142,595,2,33,15,0.6,tr,0,0,1,4.9,196,28,2,9,,,,
"Fruit & Fibre, Dates/Raisins/Walnuts, PostTM",125mL,29,93,389,3,22,7,4.3,1,,0,16,3.9,134,145,55,126,,,,
"Granola with Raisins, low fat, Kellogg'sTM",125mL,59,226,944,5,46,17,3.5,3,,0,24,7.8,147,173,47,135,,,,
"Granola with Raisins, RogersTM",125mL,59,245,1023,5,41,,5.3,8,,0,28,1.9,95,198,,157,,,,
"Grape-Nuts, PostTM",125mL,58,208,872,6,46,5,6,1,,0,24,2,348,253,59,241,,,,
"Harvest Crunch, regular, QuakerTM",125mL,47,218,911,5,31,12,3.3,9,6.7,1,51,1.1,45,226,,,,,,
"Honeycomb, PostTM",250mL,23,92,384,1,21,8,0.2,tr,,0,8,3.7,93,46,7,36,,,,
"Just Right, Kellogg'sTM",250mL,45,172,720,4,38,10,2.2,1,,0,11,6,250,105,28,93,,,,
"Life, QuakerTM",175mL,33,124,518,5,23,7,2.9,2,0.3,0,24,4.3,195,188,10,160,,,,
"Lucky Charms, General MillsTM",250mL,34,132,550,2,28,15,1.7,1,,0,124,4.6,227,64,28,87,,,,
"Mini-Wheats with White Frosting, Kellogg'sTM",175mL,35,121,505,3,29,3,3.6,1,,0,14,4.7,4,135,31,102,,,,
"Muesli, President's ChoiceTM",75mL,40,144,603,5,28,10,3.5,2,,0,9,1.6,24,228,13,40,,,,
"Nesquik, General MillsTM",250mL,30,120,502,1,27,14,0.6,1,,0,33,4.1,192,49,8,44,,,,
"Oat bran, cooked",175mL,179,73,306,3,12,tr,3.4,1,0.3,0,17,1.3,1,120,,127,,,,
"Oatmeal Crisp Almond, General MillsTM",125mL,32,131,546,3,23,8,2.3,3,,0,81,4.3,108,93,34,93,,,,
"Oatmeal Crisp Maple Walnut, General MillsTM",125mL,32,133,557,3,25,9,2.3,2,0.3,0,81,4.3,142,101,29,81,,,,
"Oatmeal, instant, apple-cinnamon",1 packet,186,141,592,3,29,12,2.8,2,0.3,0,21,5,256,108,36,88,,,,
"Oatmeal, instant, regular",1 packet,186,112,468,4,20,1,2.7,2,0.4,0,21,4,241,112,45,132,,,,
"Oatmeal, large flakes/quick",175mL,173,99,412,4,17,tr,2.6,2,0.3,0,13,1,1,98,,111,,,,
"Puffed Wheat, QuakerTM",250mL,13,45,188,2,9,tr,1.4,tr,0.1,0,9,0.5,0,60,18,40,,,,
"Raisin Bran, Kellogg'sTM",250mL,59,187,782,5,47,17,6.7,1,,0,22,7.9,367,334,75,189,,,,
"Red River, Robin HoodTM",175mL,180,115,482,4,24,,4,1,0.1,tr,15,1.3,27,,18,63,,,,
"Reese's Puffs, General MillsTM",175mL,30,128,533,2,24,13,0.6,3,0.6,0,98,4,178,43,2,11,,,,
"Rice Krispies, Kellogg'sTM",250mL,29,110,458,2,24,3,0.3,tr,0,0,4,3.8,315,31,11,41,,,,
"Shredded Wheat, PostTM",1 biscuit,25,91,379,3,21,tr,3.5,1,0.1,0,9,1.5,1,92,31,83,,,,
"Shreddies, PostTM",175mL,38,138,579,4,32,6,4.4,1,,0,14,5.1,241,143,38,109,,,,
"Special K, Kellogg'sTM",250mL,24,94,392,4,18,2,0.3,tr,,0,tr,3.2,226,34,13,49,,,,
"Sugar Crisp, PostTM",250mL,26,103,432,1,24,14,0.8,1,,0,3,0.3,33,1,11,44,,,,
"Trix, General MillsTM",250mL,30,117,491,1,27,13,1,1,,0,98,4,195,16,2,22,,,,
WeetabixTM,2 biscuits,35,130,543,4,29,2,4.4,1,0.1,0,14,1.1,126,141,58,144,,,,
CRACKERS,,,,,,,,,,,,,,,,,,,,,
Cheese crackers,4,4,20,84,tr,2,tr,0.1,1,0.4,1,6,0.2,40,6,1,9,,,,
"Melba toast, plain",2,10,39,163,1,8,tr,0.6,tr,tr,0,9,0.4,83,20,6,20,,,,
Milk crackers,4,48,218,913,4,33,8,0.9,8,1.3,5,83,1.7,284,55,11,145,,,,
Rusk toast,1,10,41,170,1,7,,0.6,1,0.1,0,3,0.3,25,25,4,15,,,,
"Rye wafers, plain",1,25,84,349,2,20,tr,5.7,tr,tr,0,10,1.5,199,124,30,84,,,,
"Saltine (oyster, soda, soup)",4,12,51,215,1,9,tr,0.4,1,0.2,0,8,0.7,129,18,3,12,,,,
"Saltine (oyster, soda, soup), unsalted top",4,12,52,218,1,9,0,0.4,1,0.4,0,14,0.6,92,15,3,13,,,,
Standard-type (snack-type) (RitzTM),4,12,60,252,1,7,tr,0.2,3,0.5,0,14,0.4,102,16,3,27,,,,
"Standard-type, reduced sodium (RitzTM)",4,12,60,252,1,7,tr,0.2,3,0.5,0,14,0.4,45,43,3,27,,,,
Wheat crackers,4,20,95,396,2,13,1,1.4,3,2,0,10,1,173,60,12,44,,,,
"Wheat crackers, low fat",4,18,79,330,2,12,2,0.9,2,1.2,tr,34,0.7,112,72,13,52,,,,
Whole-wheat crackers,4,16,71,296,1,11,tr,1.7,3,0.5,0,8,0.5,105,48,16,47,,,,
,,,,,,,,,,,,,,,,,,,,,
DAIRY FOODS AND OTHER RELATED PRODUCTS,,,,,,,,,,,,,,,,,,,,,
MILK AND SUBSTITUTES,,,,,,,,,,,,,,,,,,,,,
Buttermilk,250mL,259,104,432,9,12,12,,2,1.4,10,300,0.1,272,391,28,230,18,,,
"Milk, chocolate, 1% M.F.",250mL,264,166,695,9,28,26,,3,1.6,8,304,0.6,161,449,34,272,153,,,
"Milk, chocolate, 2% M.F.",250mL,264,190,795,8,27,26,,5,3.3,18,301,0.6,158,446,34,269,145,,,
"Milk, partly skimmed, 1% M.F.",250mL,258,108,454,9,13,13,,3,1.6,13,307,0.1,113,387,28,245,150,,,
"Milk, partly skimmed, 2% M.F.",250mL,258,129,539,9,12,13,,5,3.3,21,302,0.1,106,387,28,242,142,,,
"Milk, partly skimmed, 2% M.F., with added milk solids",250mL,260,146,608,10,14,14,,5,3.2,21,372,0.2,153,473,42,291,143,,,
"Milk, skim",250mL,259,88,368,9,13,13,,tr,0.2,5,324,0.1,109,404,28,261,158,,,
"Milk, whole, 3.3% M.F.",250mL,258,155,647,8,12,14,,8,5.4,26,291,0.1,103,369,26,235,72,,,
"Rice beverage, flavoured and unflavoured, enriched",250mL,259,127,531,tr,26,,,2,0.2,0,319,0.2,91,72,10,36,52,,,
"Soy beverage, chocolate, enriched",250mL,257,162,673,6,26,20,,4,0.6,0,323,1.2,136,367,38,131,180,,,
"Soy beverage, original and vanilla, enriched",250mL,257,110,465,7,13,9,,4,0.5,0,316,1.1,120,313,38,110,142,,,
"Soy beverage, unsweetened, enriched",250mL,257,85,354,7,4,1,,4,0.5,0,318,1.2,95,308,41,82,160,,,
PROCESSED MILK,,,,,,,,,,,,,,,,,,,,,
"Milk, condensed, sweetened, canned (Eagle BrandTM)",15mL,19,62,260,2,11,11,,2,1.1,7,55,tr,25,72,5,49,14,,,
"Milk, evaporated, partly skimmed, canned, diluted, 2% M.F.",250mL,258,122,512,10,15,13,,3,1.6,10,369,0.3,149,422,35,264,104,,,
"Milk, evaporated, partly skimmed, canned, undiluted, 2% M.F.",15mL,16,15,62,1,2,2,,tr,0.2,1,44,tr,18,51,4,32,12,,,
"Milk, evaporated, skim, canned, diluted, 0.2% M.F.",250mL,259,105,438,10,15,15,,tr,0.2,5,392,0.4,157,446,38,262,159,,,
"Milk, evaporated, skim, canned, undiluted, 0.2% M.F.",15mL,16,13,53,1,2,2,,tr,tr,1,47,tr,19,54,4,32,19,,,
"Milk, evaporated, whole, canned, diluted, 7.8% M.F.",250mL,258,178,744,9,13,13,,10,6.3,39,349,0.3,143,403,33,270,86,,,
"Milk, evaporated, whole, canned, undiluted, 7.8% M.F.",15mL,16,21,89,1,2,2,,1,0.8,5,42,tr,17,48,4,32,10,,,
"Milk, reconstituted, from skim milk powder",250mL,259,86,360,8,13,13,,tr,0.1,4,301,0.1,137,410,30,237,170,,,
Skim milk powder,5mL,1,5,22,1,1,1,,tr,tr,tr,18,tr,8,25,2,14,10,,,
MILK BEVERAGES,,,,,,,,,,,,,,,,,,,,,
"Chocolate milk, chocolate flavour powder + 2% milk",250mL,279,207,863,9,33,,,6,3.4,20,321,0.8,176,531,59,274,143,,,
"Chocolate milk, syrup + 2% milk",250mL,298,238,998,10,38,,,5,3.3,21,319,1,158,489,60,298,146,,,
"Eggnog, 7% M.F.",250mL,268,362,1516,10,36,23,,20,11.9,158,349,0.5,145,443,51,293,121,,,
"Hot chocolate, aspartame sweetened, powder + water",250mL,270,78,326,3,15,9,,1,0,0,127,1.1,240,569,46,189,38,,,
"Hot chocolate, homemade with cocoa + 2% milk",250mL,264,203,851,9,28,26,,6,3.8,21,277,1.3,116,520,61,277,135,,,
"Hot chocolate, powder + 2% milk",250mL,264,255,1068,10,41,37,,6,3.8,20,318,0.5,272,595,55,327,126,,,
"Hot chocolate, powder + water",250mL,291,160,669,2,34,30,,2,0.9,3,64,0.5,206,285,35,125,0,,,
Instant breakfast powder + 2% milk,250mL,280,260,1087,16,36,12,,5,3.1,24,555,3.9,286,811,61,459,444,,,
"Milk shake, chocolate",250mL,249,296,1240,8,53,52,,7,4.2,27,329,0.8,276,558,40,314,45,,,
"Milk shake, vanilla",250mL,249,279,1166,10,44,44,,8,4.7,30,364,0.2,237,456,30,286,62,,,
YOGOURTS AND OTHER FERMENTABLE BEVERAGES,,,,,,,,,,,,,,,,,,,,,
Drinkable yogourt,200mL,207,145,607,5,24,24,,3,2.1,12,191,0.2,81,257,23,157,,,,
"Fresh cheese (DanimalTM, MinigoTM)",1,60,68,286,3,10,10,,2,1.1,6,138,0.1,32,84,7,50,,,,
"Kefir, plain",175mL,165,104,433,6,7,6,,6,3.8,25,187,0.1,70,250,19,148,58,,,
Yogourt parfait with berries and granola,175mL,188,233,973,7,40,3,,5,2.7,14,208,2.2,119,337,36,201,23,,,
"Yogourt, plain, 1-2% M.F.",175mL,181,114,477,10,13,13,,3,1.8,11,332,0.1,127,424,31,261,25,,,
"Yogourt, plain, 2-4% M.F.",175mL,181,129,538,9,12,8,,5,3.3,17,292,0.1,111,412,28,246,31,,,
"Yogourt, plain, fat-free",175mL,189,79,332,8,11,9,,tr,0,6,253,0.1,113,368,26,215,,,,
"Yogourt, vanilla or fruit, 1-2% M.F.",175mL,185,183,767,7,30,25,,4,2.3,17,227,0.1,98,335,20,167,,,,
"Yogourt, vanilla or fruit, fat-free",175mL,181,116,484,8,21,19,,tr,tr,4,229,0.2,103,349,20,163,,,,
"Yogourt, vanilla or fruit, fat-free with sugar substitute",175mL,189,94,394,7,16,14,,tr,0,6,205,0.2,92,311,22,179,,,,
CHEESE,,,,,,,,,,,,,,,,,,,,,
Blue,50g,50,177,738,11,1,tr,,14,9.3,38,264,0.2,698,128,12,194,99,,,
Brick,50g,50,186,776,12,1,tr,,15,9.4,47,337,0.2,280,68,12,226,146,,,
Brie,50g,50,167,699,10,tr,tr,,14,8.7,50,92,0.3,315,76,10,94,87,,,
Camembert,50g,50,150,628,10,tr,tr,,12,7.6,36,194,0.2,421,94,10,174,121,,,
Cheddar,50g,50,202,843,12,1,tr,,17,10.5,53,361,0.3,311,49,14,256,133,,,
"Cheddar, low fat (18% M.F.)",50g,50,141,590,14,1,,,9,5.8,28,453,0.1,363,47,18,292,75,,,
Cottage cheese (1% M.F.),125mL,119,86,359,15,3,3,,1,0.8,5,73,0.2,500,103,6,160,13,,,
"Cream cheese, light",30mL,30,70,294,3,2,tr,,5,3.4,17,34,0.5,90,51,2,44,56,,,
"Cream cheese, regular",30mL,29,103,430,2,1,tr,,10,6.5,32,24,0.4,87,35,2,31,108,,,
Edam,50g,50,179,747,12,1,1,,14,8.8,45,366,0.2,483,94,15,268,122,,,
Feta,50g,50,132,552,7,2,2,,11,7.7,46,247,0.3,558,31,10,169,63,,,
"Goat cheese, soft",50g,50,134,561,9,tr,tr,,11,7.3,23,70,1,184,13,8,128,144,,,
Gouda,50g,50,178,745,13,1,1,,14,9,58,350,0.1,410,61,15,273,83,,,
Gruyere,50g,50,207,864,15,tr,tr,,16,9.5,55,506,0.1,168,41,18,303,136,,,
Imitation cheese,50g,50,120,500,8,6,4,,7,4.4,18,281,0.2,673,121,15,356,57,,,
Mozzarella (22.5% M.F.),50g,50,141,588,10,1,1,,11,6.8,39,269,0.1,187,34,10,186,90,,,
"Mozzarella, partially skimmed (16.5% M.F.)",50g,50,127,531,13,1,1,,8,5.2,29,323,0.1,241,42,12,239,64,,,
"Parmesan, grated",15mL,6,27,114,2,tr,tr,,2,1.1,6,70,0.1,97,8,2,46,8,,,
"Processed cheese food, thin slices",1,21,78,327,5,tr,tr,,7,4.1,20,115,tr,310,35,6,107,53,,,
"Processed cheese food, thin slices, light",1,21,50,209,4,2,2,,3,1.8,11,110,tr,331,69,7,173,53,,,
Processed cheese spread (Cheez WhizTM),30mL,31,90,375,5,3,,,7,4.1,17,174,0.1,503,75,9,271,,,,
"Processed cheese spread, light (Light Cheez WhizTM)",30mL,31,69,287,6,4,3,,3,2.2,13,178,tr,491,107,9,317,91,,,
"Ricotta cheese, partly skimmed milk",125mL,131,181,756,15,7,tr,,10,6.5,41,356,0.6,164,164,20,240,140,,,
"Romano, grated",15mL,6,25,103,2,tr,tr,,2,1.1,7,67,tr,76,5,3,48,6,,,
Swiss (Emmental),50g,50,190,795,13,3,1,,14,8.9,46,396,0.1,96,39,19,284,110,,,
"Swiss, processed, thin slices",1,21,70,291,5,tr,tr,,5,3.3,18,161,0.1,285,45,6,159,41,,,
CREAM,,,,,,,,,,,,,,,,,,,,,
"Half and half, 10% M.F.",15mL,15,18,76,tr,1,tr,,2,1,5,16,tr,6,20,2,15,15,,,
"Sour cream, 14% M.F.",15mL,15,22,93,tr,1,tr,,2,1.3,6,16,tr,6,19,1,14,17,,,
"Sour cream, light, 5% M.F.",15mL,16,21,89,1,1,tr,,2,1,6,22,tr,11,33,2,11,14,,,
"Table cream (coffee cream), 18% M.F.",15mL,15,28,118,tr,1,tr,,3,1.7,9,15,tr,6,19,1,13,25,,,
"Whipped, pressurized",60mL,15,39,164,tr,2,1,,3,2.1,12,15,tr,20,22,2,14,29,,,
"Whipping cream, 35% M.F., not whipped",15mL,15,49,207,tr,tr,tr,,5,3.3,19,10,tr,5,12,1,9,62,,,
"Whipping cream, 35% M.F., sweetened, whipped",60mL,30,100,419,1,3,2,,10,6.2,36,19,tr,10,23,2,17,117,,,
IMITATION CHEESE,,,,,,,,,,,,,,,,,,,,,
"Coffee whitener, frozen liquid",15mL,15,21,87,tr,2,2,,2,0.3,0,1,tr,12,29,0,10,tr,,,
"Coffee whitener, powdered",5mL,2,11,45,tr,1,1,,1,0.6,0,tr,tr,4,16,tr,8,tr,,,
"Coffee whitener, powdered, light",5mL,2,9,36,tr,1,1,,tr,0.1,0,tr,tr,5,18,0,3,tr,,,
"Dessert topping, frozen",60mL,19,60,253,tr,4,4,,5,4.1,0,1,tr,5,3,tr,2,1,,,
"Dessert topping, frozen, low fat",60mL,19,42,175,1,4,4,,2,2.1,tr,14,tr,14,19,1,14,1,,,
"Dessert topping, powdered, prepared with 2% M.F. milk",60mL,20,37,153,1,3,3,,2,2,1,19,tr,12,31,2,18,9,,,
"Dessert topping, pressurized",60mL,18,47,196,tr,3,3,,4,3.4,0,1,tr,11,3,tr,3,1,,,
PUDDING,,,,,,,,,,,,,,,,,,,,,
"All flavours, instant, from mix, prepared with 2% milk",125mL,139,149,623,4,27,23,,3,1.6,9,141,0.2,391,206,18,307,65,,,
"Chocolate, ready-to-eat",1 container,99,138,575,3,23,18,,4,0.7,3,89,0.5,128,178,21,79,10,,,
"Chocolate, ready-to-eat, fat-free",1 container,99,96,402,3,20,15,,tr,0.2,1,72,0.8,168,139,19,75,47,,,
"Rice, homemade",125mL,119,160,669,4,32,19,,2,1.2,7,115,0.3,55,211,18,112,51,,,
"Rice, ready-to-eat",1 container,99,161,675,2,22,,,7,1.2,1,51,0.3,84,59,8,67,25,,,
"Tapioca, ready-to-eat",1 container,99,118,493,2,19,18,,4,0.6,1,83,0.2,157,95,8,78,0,,,
"Tapioca, ready-to-eat, fat-free",1 container,99,88,368,2,20,16,,tr,0,1,50,0.3,210,52,5,40,32,,,
"Vanilla, ready-to-eat",1 container,99,128,534,2,22,20,,4,0.6,7,87,0.1,134,112,8,67,6,,,
"Vanilla, ready-to-eat, fat-free",1 container,99,92,385,2,22,16,,tr,tr,1,59,0.4,211,71,7,49,40,,,
,,,,,,,,,,,,,,,,,,,,,
EGGS AND EGG DISHES,,,,,,,,,,,,,,,,,,,,,
"Egg substitute, frozen (yolk replaced), cooked",2 eggs,111,226,947,14,4,,,17,2.9,2,89,2.4,291,258,,88,60,,,
"Egg white, cooked",1 large,33,16,66,3,tr,,,0,0,0,3,tr,106,39,,4,0,,,
"Egg yolk, cooked",1 large,17,59,249,3,1,,,6,1.7,202,22,0.7,34,17,,64,106,,,
"Egg, fried",2 large,92,173,726,12,2,,,14,3.6,367,46,1.4,322,116,,127,236,,,
"Egg, hard-boiled",1 large,50,78,324,6,1,,,5,1.6,216,25,0.6,62,63,,86,85,,,
"Egg, poached",1 large,50,74,308,6,tr,,,5,1.5,215,27,0.9,147,67,,95,70,,,
Eggs benedict,2 eggs,310,572,2393,34,30,,,35,12.5,458,189,4,2015,456,,453,265,,,
"Eggs, scrambled, made with 2 eggs",2 eggs,124,189,792,13,4,,,14,4.1,363,90,1.4,476,171,,160,253,,,
"Omelet, cheese, made with 2 eggs",1 omelet,150,273,1142,18,5,,,20,8,376,238,1.6,890,241,,356,304,,,
"Omelet, spanish, made with 2 eggs (mushrooms, onions, green peppers, tomatoes)",1 omelet,290,319,1336,15,13,,,24,5.7,353,111,1.8,607,514,,211,403,,,
"Omelet, western, made with 2 eggs (green peppers, ham, onions)",1 omelet,158,237,993,17,5,,,17,5.1,346,86,1.5,720,258,,202,231,,,
,,,,,,,,,,,,,,,,,,,,,
FAST FOODS,,,,,,,,,,,,,,,,,,,,,
BEVERAGES,,,,,,,,,,,,,,,,,,,,,
"Milk shake, chocolate",250mL,175,223,931,6,36,33,3.3,6,4.1,23,198,0.5,170,351,30,179,46,1,,
"Milk shake, vanilla",250mL,175,195,814,6,31,31,0.2,5,3.3,19,214,0.2,144,305,21,179,65,1,,
SIDE DISHES,,,,,,,,,,,,,,,,,,,,,
French fries,20-25 fries,76,236,989,3,29,,2.5,12,5,11,12,1,124,541,25,101,2,4,,
Garlic Bread,2 slices,52,192,801,5,26,tr,1.5,8,1.3,0,40,1.3,384,65,14,56,74,tr,,
"Onion rings, breaded and fried",8-9,83,276,1152,4,31,,1.7,16,7,14,73,0.8,430,129,16,86,1,1,,
"Zucchini, breaded and fried, sticks",4,36,60,250,1,3,1,0.3,5,0.5,5,18,0.2,44,81,6,36,8,3,,
SANDWICHES,,,,,,,,,,,,,,,,,,,,,
"Breakfast bagel, with ham, egg and cheese",1,191,483,2019,27,52,7,0.4,18,7.8,243,185,4.1,1259,262,40,397,181,0,,
"Breakfast biscuit with egg, cheese and bacon",1,144,477,1993,16,33,3,1.1,31,11.4,261,164,2.5,1260,230,20,459,,2,,
"Breakfast English muffin with egg, cheese and bacon",1,137,289,1208,17,27,3,1.5,13,4.7,234,151,2.4,729,199,23,270,177,2,,
"Cheeseburger, double patty + condiments + vegetables",1,228,650,2718,30,53,,1.8,35,12.8,93,169,4.7,921,390,36,349,,3,,
"Cheeseburger, single patty, plain",1,102,319,1335,15,32,6,1.3,15,6.5,50,141,2.4,500,164,21,196,,0,,
"Chicken sandwich, breaded chicken + condiments + vegetables",1,228,632,2640,29,42,,2.2,39,12.4,78,258,3.6,1238,333,43,406,164,3,,
"Chicken sandwich, grilled chicken + condiments + vegetables",1,169,335,1402,33,23,3,1.2,12,2.2,78,70,2.1,330,449,37,36,23,2,,
Donair / Gyro,1,195,310,1295,22,37,3,2,7,2.8,49,98,3.1,361,404,40,223,22,6,,
Fish sandwich with breaded fish,1,183,523,2189,21,48,,2.4,29,8.1,68,185,3.5,939,353,37,311,,3,,
"Hamburger, double patty + condiments",1,215,576,2410,32,39,,1.9,32,12,103,92,5.5,742,527,45,284,,1,,
"Hamburger, single patty, plain",1,90,275,1148,12,31,5,1.3,12,4.1,35,63,2.4,387,145,19,103,0,0,,
"Submarine sandwich (6 inches), vegetarian",1,167,216,904,7,38,3,3.4,4,0.8,0,77,2.7,529,236,27,88,25,20,,
"Submarine sandwich (6 inches), with cold cuts",1,228,456,1906,22,51,,3,19,6.8,36,189,2.5,1651,394,68,287,71,12,,
"Submarine sandwich (6 inches), with grilled/roasted chicken",1,229,417,1742,24,44,3,3.3,16,2.8,47,81,3,722,437,44,104,37,12,,
"Submarine sandwich (6 inches), with tuna",1,256,584,2440,30,55,,2.9,28,5.3,49,74,2.6,1293,335,79,220,46,4,,
"Veggie burger, single patty + condiments + vegetables",1,157,359,1504,19,28,4,4.5,19,2.9,5,86,3.1,671,233,25,278,22,3,,
"Wrap sandwich, chicken ranch",1,249,532,2227,32,44,3,3.5,25,6.7,77,134,3.3,847,544,50,235,50,12,,
CHINESE,,,,,,,,,,,,,,,,,,,,,
Beef and broccoli stir fry,250mL,229,266,1111,24,9,1,2.2,15,3.5,58,48,2.8,433,473,35,189,90,59,,
Chicken almond guy ding,250mL,256,295,1232,22,18,3,2.6,15,1.6,42,58,1.7,510,591,61,123,14,7,,
Chicken chow mein,250mL,232,200,837,21,10,7,2.2,9,1.6,51,38,1.7,982,423,35,191,17,8,,
