Food name,Measure,Weight ,Energy,Energy,Protein,Carbohydrate,Total Sugar,Total Dietary Fibre,Total Fat,Saturated Fat,Cholesterol,Calcium,Iron,Sodium,Potassium,Magnesium,Phosphorus,Vitamin A,Vitamin C,Alcohol,Caffeine
, ,g,kcal,kJ,g,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,RAE,mg,g,mg
,,,,,,,,,,,,,,,,,,,,,
BAKED GOODS,,,,,,,,,,,,,,,,,,,,,
"Carrot, homemade with cream cheese icing (2 layer, 23cm diam)",  1/12,133,542,2266,5,70,52,1.5,28,3.8,73,49,1.6,201,131,10,70,,,,
"Cheesecake, commercial (15 cm diam)",  1/6 ,100,321,1342,6,26,,0.4,23,9.9,55,51,0.6,207,90,11,93,,,,
"Cheesecake, from mix, no-bake type (20cm diam)",  1/8 ,149,407,1702,8,53,,2.8,19,9.9,43,255,0.7,564,313,28,347,,,,
"Cheesecake, plain, homemade with cherry topping (20cm diam)",  1/8 ,168,459,1920,11,55,45,0.8,23,8.8,75,65,1.6,496,146,12,124,,,,
"Chocolate, from mix, with icing (23cm diam)",  1/12,109,362,1513,4,61,47,2,13,1.9,43,63,1.6,396,177,27,141,,,,
"Chocolate, frozen, commercial, with chocolate icing (1 layer, 5cm X 20cm diam)",  1/6 ,85,,,,,,,,,,,,,,,,,,,
"Chocolate, homemade, with icing (2 layer, 23cm diam)",  1/12,109,408,1706,4,67,52,1.9,16,5,28,66,2.5,253,138,34,91,,,,
"Coffee cake, cinnamon with crumb topping, commercial",  1/10,57,237,991,4,26,,1.1,13,3.3,18,31,1.1,199,70,12,61,,,,
"Coffee cake, cinnamon with crumb topping, from mix (20cm X 15cm)",  1/10,45,142,596,2,24,13,0.5,4,0.8,22,61,0.6,189,50,8,96,,,,
"Fruitcake, commercial",1 piece,43,139,583,1,26,13,1.6,4,0.5,2,14,0.9,116,66,7,22,,,,
"Gingerbread, from mix (23cm X 23cm)",  1/9 ,69,212,889,3,35,22,0.8,7,1.8,22,47,2.3,315,166,11,113,,,,
"Pound cake, homemade  (23cm X 13cm X 7.5cm)",  1/10,91,391,1633,5,42,22,0.4,23,4.1,96,22,2.1,368,66,7,59,,,,
"Shortcake, biscuit-type, homemade (4cm X 7.5cm diam)",1,75,234,978,5,34,8,1,8,2.4,28,106,1.7,459,96,12,100,,,,
"Sponge, commercial, individual shell",1,25,72,302,1,15,9,0.1,1,0.2,26,18,0.7,61,25,3,34,,,,
"Sponge, homemade (25cm diam)",  1/12,63,187,782,5,36,,0.2,3,0.8,107,26,1,144,89,6,63,,,,
"White, from mix, with icing (2 layer, 23cm diam)",  1/12,109,363,1518,3,66,51,0.9,10,1.6,tr,41,0.9,342,76,15,138,,,,
"White, homemade, with icing (2 layer, 23cm diam)",  1/12,109,371,1553,3,70,56,0.3,9,2.5,1,50,1.3,205,55,5,41,,,,
"Yellow, from mix, with icing (2 layer, 23cm diam)",  1/12,109,363,1519,4,64,47,0.9,11,2,46,60,1.1,338,74,15,137,,,,
"Yellow, frozen, commercial, with chocolate icing (1 layer, 5cm X 20cm diam)",  1/6 ,85,,,,,,,,,,,,,,,,,,,
Pies,,,,,,,,,,,,,,,,,,,,,
"Apple, commercial, 2 crust (23cm diam)",  1/8 ,125,296,1239,2,43,20,2,14,4.7,0,14,0.6,333,81,9,30,,,,
"Apple, homemade, 2 crust (23cm diam)",  1/8 ,155,411,1717,4,58,,2.3,19,4.7,0,11,1.7,327,122,11,43,,,,
"Banana cream, from mix, no-bake type (23cm diam)",  1/8 ,92,231,966,3,29,,0.6,12,6.4,27,67,0.4,267,104,11,154,,,,
Butter tart,1,54,248,1038,2,29,15,0.7,14,5.6,30,22,1.1,164,109,10,35,,,,
"Cherry, commercial, 2 crust (23cm diam)",  1/8 ,125,325,1359,3,50,18,1,14,3.2,0,15,2,308,101,10,36,,,,
"Chocolate cream, commercial (20cm diam)",  1/6 ,113,344,1436,3,38,,2.3,22,5.6,6,41,1.2,154,144,24,77,,,,
"Coconut cream, commercial (20cm diam)",  1/6 ,64,191,797,1,24,23,0.8,11,4.5,0,19,0.5,163,42,13,54,,,,
"Fried pie, fruit (13cm X 10cm)",1,128,404,1692,4,55,27,3.3,21,3.1,0,28,1.6,479,83,13,55,,,,
"Lemon meringue, commercial (20cm diam)",  1/6 ,113,303,1267,2,53,27,1.4,10,2,51,63,0.7,165,101,17,119,,,,
"Mincemeat pie, homemade, 2 crust (23cm diam)",  1/8 ,165,477,1995,4,79,47,4.3,18,4.4,0,36,2.5,419,335,23,69,,,,
"Pecan, commercial (20cm diam)",  1/6 ,113,452,1890,5,65,32,4,21,4,36,19,1.2,479,84,20,87,,,,
"Pumpkin, commercial (20cm diam)",  1/6 ,109,229,957,4,30,15,2.9,10,1.9,22,65,1.5,307,168,16,77,,,,
"Sugar pie, homemade, 1 crust",  1/8 ,88,407,1703,3,31,18,0.5,31,17.3,84,61,1.1,81,139,13,59,,,,
Other Baked Goods,,,,,,,,,,,,,,,,,,,,,
"Apple crisp, homemade",125mL,128,206,863,2,39,25,1.8,4,0.9,0,45,1,449,100,10,36,,,,
"Bread pudding with raisins, homemade",125mL,106,162,677,6,24,15,0.9,5,1.8,61,124,1.2,252,228,18,111,,,,
"Danish pastry, cinnamon (11cm diam)",1,65,262,1095,5,29,13,0.8,15,3.7,14,46,1.3,241,81,12,70,,,,
